ScripCode,TradingSymbol,Description,InstrumentType
17833,AHLUCONT-EQ,AHLUWALIA CONT IND LTD,0
13086,AIAENG-EQ,AIA ENGINEERING LIMITED,0
23553,AIIL-EQ,AUTHUM INVEST & INFRA LTD,0
4654,AILIMITED-ST,ABHISHEK INTEGRATIONS LTD,0
23984,AIMTRON-SM,AIMTRON ELECTRONICS LTD,0
9897,AIRAN-EQ,AIRAN LIMITED,0
6068,AIROLAM-EQ,AIRO LAM LIMITED,0
6435,AIRTELPP-E1,AIRTEL RS. 1.25 PPD UP,0
483,AISL-ST,ANI INTEGRATED SERV LTD.,0
8124,AJANTPHARM-EQ,AJANTA PHARMA LIMITED,0
17307,AJMERA-EQ,AJMERA REALTY & INF I LTD,0
3403,AJOONI-EQ,AJOONI BIOTECH LIMITED,0
21121,AKANKSHA-SM,AKANKSHA POWER N INFRA L,0
13510,AKASH-EQ,AKASH INFRA-PROJECTS LTD,0
2176,AKG-EQ,AKG EXIM LIMITED,0
14890,AKI-EQ,AKI INDIA LIMITED,0
24307,AKIKO-ST,AKIKO GLOBAL SERVICES L,0
9558,AKSHAR-EQ,AKSHAR SPINTEX LIMITED,0
20178,AKSHARCHEM-EQ,AKSHARCHEM INDIA LIMITED,0
8591,AKSHOPTFBR-EQ,AKSH OPTIFIBRE LIMITED,0
1467,AKZOINDIA-EQ,AKZO NOBEL INDIA LIMITED,0
9921,ALANKIT-EQ,ALANKIT LIMITED,0
17256,ALBERTDAVD-EQ,ALBERT DAVID LIMITED,0
79,ALEMBICLTD-EQ,ALEMBIC LIMITED,0
13656,ALICON-EQ,ALICON CASTALLOY LIMITED,0
16959,ALKALI-EQ,ALKALI METALS LTD,0
11703,ALKEM-EQ,ALKEM LABORATORIES LTD.,0
4487,ALKYLAMINE-EQ,ALKYL AMINES CHEM. LTD,0
13501,ALLCARGO-EQ,ALLCARGO LOGISTICS LTD,0
13203,ALLETEC-SM,ALL E TECHNOLOGIES LTD,0
11798,ALLSEC-EQ,ALLSEC TECHNOLOGIES LTD,0
16719,ALMONDZ-EQ,ALMONDZ GLOBAL SEC LTD,0
17675,ALOKINDS-EQ,ALOK INDUSTRIES LIMITED,0
14848,ALPA-EQ,ALPA LABORATORIES LTD,0
22688,ALPEXSOLAR-SM,ALPEX SOLAR LIMITED,0
7412,ALPHA-EQ,KOTAKMAMC - KOTAKALPHA,0
19640,ALPHAETF-EQ,MIRAEAMC - ALPHAETF,0
14597,ALPHAGEO-EQ,ALPHAGEO (INDIA) LIMITED,0
22344,ALPL30IETF-EQ,ICICIPRAMC - ICICIALPLV,0
7623,ALPSINDUS-BE,ALPS INDUSTRIES LTD.,0
