ScripCode,TradingSymbol,Description,InstrumentType
17875,GODREJPROP-EQ,GODREJ PROPERTIES LTD,0
5010,GOENKA-BZ,GOENKA DIAMOND&JEWELS LTD,0
11778,GOKEX-EQ,GOKALDAS EXPORTS LTD.,0
16709,GOKUL-BE,GOKUL REFOILS & SOLV LTD,0
14480,GOKULAGRO-EQ,GOKUL AGRO RESOURCES LTD,0
14858,GOLD1-EQ,KOTAK GOLD ETF,0
14428,GOLDBEES-EQ,NIP IND ETF GOLD BEES,0
22901,GOLDCASE-EQ,ZERODHAAMC - GOLDCASE,0
11619,GOLDENTOBC-BZ,GOLDEN TOBACCO LIMITED,0
14286,GOLDETF-EQ,MIRAEAMC - MAGOLDETF,0
15356,GOLDETFADD-EQ,DSPAMC - DSPGOLDETF,0
11971,GOLDIAM-EQ,GOLDIAM INTERNATIONAL LTD,0
19679,GOLDIETF-EQ,ICICI PRUDENTIAL GOLD ETF,0
13701,GOLDKART-ST,GOLDKART JEWELS LIMITED,0
14535,GOLDSHARE-EQ,UTI GOLD ETF,0
1,GOLDSTAR-SM,GOLDSTAR POWER LIMITED,0
9874,GOLDTECH-EQ,AION-TECH SOLUTIONS LTD,0
6125,GOODLUCK-EQ,GOODLUCK INDIA LIMITED,0
23066,GOPAL-EQ,GOPAL SNACKS LIMITED,0
11789,GOYALALUM-BE,GOYAL ALUMINIUMS LIMITED,0
19356,GOYALSALT-SM,GOYAL SALT LIMITED,0
24108,GPECO-SM,GP ECO SOLUTIONS INDIA L,0
13409,GPIL-EQ,GODAWARI POW & ISP LTD,0
19731,GPPL-EQ,GUJARAT PIPAVAV PORT LTD,0
22846,GPTHEALTH-EQ,GPT HEALTHCARE LIMITED,0
17689,GPTINFRA-BE,GPT INFRAPROJECTS LTD,0
11872,GRANULES-EQ,GRANULES INDIA LIMITED,0
20454,GRAPHISAD-SM,GRAPHISADS LIMITED,0
592,GRAPHITE-EQ,GRAPHITE INDIA LTD,0
1232,GRASIM-EQ,GRASIM INDUSTRIES LTD,0
20534,GRAVITA-EQ,GRAVITA INDIA LIMITED,0
14052,GRCL-SM,GAYATRI RUBB AND CHEM LTD,0
1235,GREAVESCOT-EQ,GREAVES COTTON LTD.,0
17092,GREENCHEF-SM,GREENCHEF APPLIANCES LTD,0
6848,GREENLAM-EQ,GREENLAM INDUSTRIES LTD.,0
13810,GREENPANEL-EQ,GREENPANEL INDUSTRIES LTD,0
3987,GREENPLY-EQ,GREENPLY INDUSTRIES LTD,0
20110,GREENPOWER-EQ,ORIENT GREEN POWER CO LTD,0
18742,GRETEX-ST,GRETEX INDUSTRIES LTD.,0
13560,GRINDWELL-EQ,GRINDWELL NORTON LIMITED,0
5054,GRINFRA-EQ,G R INFRAPROJECTS LIMITED,0
10871,GRMOVER-EQ,GRM OVERSEAS LIMITED,0
17770,GROBTEA-EQ,THE GROB TEA COMPANY LTD,0
6549,GRPLTD-BE,GRP LIMITED,0
5475,GRSE-EQ,GARDEN REACH SHIP&ENG LTD,0
7982,GRWRHITECH-EQ,GARWARE HI-TECH FILMS LTD,0
13143,GSEC10IETF-EQ,ICICIPRAMC - ICICI10GS,0
14938,GSEC10YEAR-EQ,MIRAEAMC - MAGS813ETF,0
8342,GSEC5IETF-EQ,ICICIPRAMC - ICICI5GSEC,0
1247,GSFC-EQ,GUJ STATE FERT & CHEM LTD,0
14599,GSLSU-EQ,GLOBAL SURFACES LIMITED,0
23891,GSMFOILS-ST,GSM FOILS LIMITED,0
13197,GSPL-EQ,GUJARAT STATE PETRO LTD,0
15351,GSS-BE,GSS INFOTECH LIMITED,0
9764,GSTL-SM,GLOBESECURE TECHNO LTD,0
1135,GTECJAINX-BE,G-TEC JAINX EDUCATION LTD,0
4821,GTL-BE,GTL LTD,0
13745,GTLINFRA-EQ,GTL INFRA.LTD,0
21195,GTPL-EQ,GTPL HATHWAY LIMITED,0
11606,GUFICBIO-EQ,GUFIC BIOSCIENCES LTD.,0
1267,GUJALKALI-EQ,GUJARAT ALKALIES & CHEM,0
14677,GUJAPOLLO-EQ,GUJ. APOLLO IND. LTD.,0
10599,GUJGASLTD-EQ,GUJARAT GAS LIMITED,0
4548,GUJRAFFIA-EQ,GUJARAT RAFFIA INDUST LTD,0
4391,GULFOILLUB-EQ,GULF OIL LUB. IND. LTD.,0
11581,GULFPETRO-EQ,GP PETROLEUMS LIMITED,0
6286,GULPOLY-EQ,GULSHAN POLYOLS LIMITED,0
13226,GVKPIL-EQ,GVK POW. & INFRA LTD.,0
10865,GVPTECH-EQ,GVP INFOTECH LIMITED,0
2303,HAL-EQ,HINDUSTAN AERONAUTICS LTD,0
48,HAPPSTMNDS-EQ,HAPPIEST MINDS TECHNO LTD,0
20854,HAPPYFORGE-EQ,HAPPY FORGINGS LIMITED,0
8962,HARDWYN-EQ,HARDWYN INDIA LIMITED,0
8968,HARIOMPIPE-EQ,HARIOM PIPE INDUSTRIES L,0
1313,HARRMALAYA-EQ,HARRISON MALAYALAM LTD,0
11162,HARSHA-EQ,HARSHA ENGINEERS INT LTD,0
18154,HATHWAY-EQ,HATHWAY CABLE & DATACOM,0
3892,HATSUN-EQ,HATSUN AGRO PRODUCT LTD.,0
9819,HAVELLS-EQ,HAVELLS INDIA LIMITED,0
7457,HAVISHA-EQ,SRI HAVISHA HOSP & INFR L,0
13966,HBLPOWER-EQ,HBL POWER SYSTEMS LTD.,0
4116,HBSL-EQ,HB STOCKHOLDINGS LIMITED,0
1375,HCC-EQ,HINDUSTAN CONSTRUCTION CO,0
15555,HCG-EQ,HEALTHCARE GLOB. ENT. LTD,0
5735,HCL-INSYS-BE,HCL INFOSYSTEMS-DEPO SETT,0
7229,HCLTECH-EQ,HCL TECHNOLOGIES LTD,0
4244,HDFCAMC-EQ,HDFC AMC LIMITED,0
1333,HDFCBANK-EQ,HDFC BANK LTD,0
14230,HDFCBSE500-EQ,HDFCAMC - HDFCBSE500,0
19543,HDFCGOLD-EQ,HDFC GOLD ETF,0
11241,HDFCGROWTH-EQ,HDFCAMC - HDFCGROWTH,0
467,HDFCLIFE-EQ,HDFC LIFE INS CO LTD,0
18279,HDFCLIQUID-EQ,HDFCAMC - HDFCLIQUID,0
11547,HDFCLOWVOL-EQ,HDFCAMC - HDFCLOWVOL,0
14236,HDFCMID150-EQ,HDFCAMC - HDFCMID150,0
11538,HDFCMOMENT-EQ,HDFCAMC - HDFCMOMENT,0
10619,HDFCNEXT50-EQ,HDFCAMC - HDFCNEXT50,0
10633,HDFCNIF100-EQ,HDFCAMC - HDFCNIF100,0
22433,HDFCNIFBAN-EQ,HDFCAMC - HDFCNIFBAN,0
12101,HDFCNIFIT-EQ,HDFCAMC - HDFCNIFIT,0
11591,HDFCNIFTY-EQ,HDFCAMC - HDFCNIFTY,0
22595,HDFCPSUBK-EQ,HDFCAMC HDFCPSUBK,0
12108,HDFCPVTBAN-EQ,HDFCAMC - HDFCPVTBAN,0
11255,HDFCQUAL-EQ,HDFCAMC - HDFCQUAL,0
11593,HDFCSENSEX-EQ,HDFCAMC - HDFCSENSEX,0
10876,HDFCSILVER-EQ,HDFCAMC - HDFCSILVER,0
14233,HDFCSML250-EQ,HDFCAMC - HDFCSML250,0
11260,HDFCVALUE-EQ,HDFCAMC - HDFCVALUE,0
17920,HDIL-BZ,HOUSING DEV & INFRA LTD,0
19209,HEADSUP-BE,HEADS UP VENTURES LIMITED,0
22592,HEALTHADD-EQ,DSPAMC - HEALTHADD,0
3626,HEALTHIETF-EQ,ICICIPRAMC - ICICIPHARM,0
6297,HEALTHY-EQ,BIRLASLAMC - HEALTHY,0
7429,HECPROJECT-BE,HEC INFRA PROJECTS LTD,0
1336,HEG-EQ,HEG LTD,0
2316,HEIDELBERG-EQ,HEIDELBERGCEMENT (I) LTD,0
701,HEMIPROP-EQ,HEMISPHERE PROP IND LTD,0
2614,HERANBA-EQ,HERANBA INDUSTRIES LTD,0
15288,HERCULES-EQ,HERCULES HOI. LTD.,0
4598,HERITGFOOD-EQ,HERITAGE FOODS LTD,0
1348,HEROMOTOCO-EQ,HERO MOTOCORP LIMITED,0
7048,HESTERBIO-EQ,HESTER BIOSCIENCES LTD,0
715,HEUBACHIND-EQ,HEUBACH COLORANTS IND LTD,0
27008,HEXATRADEX-EQ,HEXA TRADEX LIMITED,0
21951,HFCL-EQ,HFCL LIMITED,0
1672,HGINFRA-EQ,H.G.INFRA ENGINEERING LTD,0
14712,HGS-EQ,HINDUJA GLOBAL SOLS. LTD.,0
10757,HIGHWAYS-IV,HIGHWAYS INFRA TRUST,0
18794,HIGREEN-SM,HI GREEN CARBON LIMITED,0
9668,HIKAL-EQ,HIKAL LIMITED,0
1455,HIL-EQ,HIL LIMITED,0
14627,HILTON-EQ,HILTON METAL FORGING LTD,0
1360,HIMATSEIDE-EQ,HIMATSINGKA SEIDE LTD,0
1363,HINDALCO-EQ,HINDALCO  INDUSTRIES  LTD,0
1372,HINDCOMPOS-EQ,HINDUSTAN COMPOSITES LTD.,0
4924,HINDCON-BE,HINDCON CHEMICALS LIMITED,0
17939,HINDCOPPER-EQ,HINDUSTAN COPPER LTD,0
21676,HINDMOTORS-EQ,HINDUSTAN MOTORS LIMITED,0
17050,HINDNATGLS-BE,HIND NATL GLASS & IND LTD,0
1403,HINDOILEXP-EQ,HINDUSTAN OIL EXPLORATION,0
1406,HINDPETRO-EQ,HINDUSTAN PETROLEUM CORP,0
1394,HINDUNILVR-EQ,HINDUSTAN UNILEVER LTD.,0
15883,HINDWAREAP-EQ,HINDWARE HME INOVATON LTD,0
1424,HINDZINC-EQ,HINDUSTAN ZINC LIMITED,0
13890,HIRECT-EQ,HIND RECTIFIER LIMITED,0
19322,HISARMETAL-EQ,HISAR METAL IND. LIMITED,0
2868,HITECH-EQ,HI-TECH PIPES LIMITED,0
15161,HITECHCORP-EQ,HITECH CORPORATION LTD,0
8568,HITECHGEAR-BE,THE HI-TECH GEARS LIMITED,0
2289,HLEGLAS-EQ,HLE GLASCOAT LIMITED,0
5121,HLVLTD-BE,HLV LIMITED,0
17053,HMAAGRO-EQ,HMA AGRO INDUSTRIES LTD,0
19698,HMT-BZ,HMT LTD -,0
19211,HMVL-EQ,HINDUSTAN MEDIA VENT LTD,0
12173,HNDFDS-EQ,HINDUSTAN FOODS LIMITED,0
18284,HNGSNGBEES-EQ,NIP IND ETF HANGSENG BEES,0
23822,HOACFOODS-SM,HOAC FOODS INDIA LIMITED,0
18649,HOLMARC-SM,HOLMARC OPTO MECHATRO L,0
2056,HOMEFIRST-EQ,HOME FIRST FIN CO IND LTD,0
13537,HOMESFY-ST,HOMESFY REALTY LIMITED,0
19813,HONASA-EQ,HONASA CONSUMER LIMITED,0
3417,HONAUT-EQ,HONEYWELL AUTOMATION IND,0
3138,HONDAPOWER-EQ,HONDA I POWER PRODUCT LTD,0
13595,HOVS-BE,HOV SERVICES LTD,0
7376,HPAL-EQ,HP ADHESIVES LIMITED,0
11796,HPIL-EQ,HINDPRAKASH INDUSTRY LTD,0
18679,HPL-EQ,HPL ELECTRIC & POWER LTD,0
21107,HRHNEXT-SM,HRH NEXT SERVICES LIMITED,0
14334,HSCL-EQ,HIMADRI SPECIALITY CHEM L,0
11979,HTMEDIA-EQ,HT MEDIA LIMITED,0
14207,HUBTOWN-BE,HUBTOWN LIMITED,0
20825,HUDCO-EQ,HSG & URBAN DEV CORPN LTD,0
2562,HUHTAMAKI-EQ,HUHTAMAKI INDIA LIMITED,0
12809,HYBRIDFIN-EQ,HYBRID FINANCIAL SERVICE,0
21348,IBLFL-SM,IBL FINANCE LIMITED,0
30125,IBULHSGFIN-EQ,INDIABULLS HSG FIN LTD,0
22774,IBULPP-E1,INDIABULL RE.0.67 PPD UP,0
9610,ICDSLTD-BE,ICDSLTD,0
489,ICEMAKE-EQ,ICE MAKE REFRIGERAT LTD,0
522,ICICIB22-EQ,ICICIPRAMC - BHARATIWIN,0
4963,ICICIBANK-EQ,ICICI BANK LTD.,0
21770,ICICIGI-EQ,ICICI LOMBARD GIC LIMITED,0
18652,ICICIPRULI-EQ,ICICI PRU LIFE INS CO LTD,0
11987,ICIL-EQ,INDO COUNT INDUSTRIES LTD,0
14523,ICRA-EQ,ICRA LIMITED,0
1476,IDBI-EQ,IDBI BANK LIMITED,0
14366,IDEA-EQ,VODAFONE IDEA LIMITED,0
17140,IDEAFORGE-EQ,IDEAFORGE TECHNO LTD,0
11957,IDFC-EQ,IDFC LIMITED,0
11184,IDFCFIRSTB-EQ,IDFC FIRST BANK LIMITED,0
18783,IDFNIFTYET-EQ,BANDHANAMC - IDFNIFTYET,0
13303,IEL-EQ,INDIABULLS ENT LTD,0
23789,IEML-SM,INDIAN EMULSIFIERS LTD,0
220,IEX-EQ,INDIAN ENERGY EXC LTD,0
1482,IFBAGRO-EQ,IFB AGRO INDUSTRIES LTD,0
1485,IFBIND-EQ,IFB INDUSTRIES LTD,0
1491,IFCI-EQ,IFCI LTD,0
436,IFGLEXPOR-EQ,IFGL REFRACTORIES LIMITED,0
634,IGARASHI-EQ,IGARASHI MOTORS INDIA LTD,0
11262,IGL-EQ,INDRAPRASTHA GAS LTD,0
14086,IGPL-EQ,I G PETROCHEMICALS LTD,0
11809,IIFL-EQ,IIFL FINANCE LIMITED,0
13072,IIFLSEC-EQ,IIFL SECURITIES LIMITED,0
19525,IITL-EQ,INDUSTRIAL INV TRUST LTD,0
16822,IKIO-EQ,IKIO LIGHTING LIMITED,0
9380,IL&FSENGG-BZ,IL&FS ENG AND CONS CO LTD,0
9381,IL&FSTRANS-BZ,IL&FS TRANS NET LTD,0
7672,IMAGICAA-EQ,IMAGICAAWORLD ENT LTD,0
19235,IMFA-EQ,INDIAN METALS & FERRO,0
12009,IMPAL-EQ,IND MOTOR PART & ACC LTD,0
11684,IMPEXFERRO-BE,IMPEX FERRO TECH LIMITED,0
17507,INCREDIBLE-EQ,INCREDIBLE INDUSTRIES LTD,0
16933,INDBANK-EQ,INDBANK MERCH BANK,0
23693,INDGN-EQ,INDEGENE LIMITED,0
1512,INDHOTEL-EQ,THE INDIAN HOTELS CO. LTD,0
1515,INDIACEM-EQ,THE INDIA CEMENTS LIMITED,0
1521,INDIAGLYCO-EQ,INDIA GLYCOLS LTD,0
10726,INDIAMART-EQ,INDIAMART INTERMESH LTD,0
14309,INDIANB-EQ,INDIAN BANK,0
4422,INDIANCARD-EQ,INDIAN CARD CLOTHING CO.,0
1530,INDIANHUME-EQ,INDIAN HUME PIPE CO. LTD.,0
20556,INDIASHLTR-EQ,INDIA SHELTER FIN CORP L,0
21058,INDIFRA-SM,INDIFRA LIMITED,0
11195,INDIGO-EQ,INTERGLOBE AVIATION LTD,0
2048,INDIGOPNTS-EQ,INDIGO PAINTS LIMITED,0
20988,INDIGRID-IV,INDIA GRID TRUST,0
2892,INDINFR-IV,INDINFRAVIT TRUST,0
4747,INDNIPPON-EQ,INDIA NIPPON ELECT  LTD,0
9116,INDOAMIN-EQ,INDO AMINES LIMITED,0
8614,INDOBORAX-EQ,INDO BORAX & CHEMICAL LTD,0
11677,INDOCO-EQ,INDOCO REMEDIES LTD.,0
10993,INDORAMA-EQ,INDO RAMA SYNTHETICS LTD,0
3088,INDOSTAR-EQ,INDOSTAR CAPITAL FIN LTD,0
13278,INDOTECH-BE,INDO TECH TRANSFORM LTD.,0
25608,INDOTHAI-EQ,INDO THAI SEC LTD,0
14952,INDOWIND-EQ,INDOWIND ENERGY LTD,0
4751,INDRAMEDCO-EQ,INDRAPRASTHA MEDICAL CORP,0
4870,INDSWFTLAB-EQ,IND SWIFT LABORATORIES LT,0
11605,INDSWFTLTD-BE,IND-SWIFT LIMITED,0
21957,INDTERRAIN-EQ,IND TERRAIN FASHIONS LTD,0
5258,INDUSINDBK-EQ,INDUSIND BANK LIMITED,0
29135,INDUSTOWER-EQ,INDUS TOWERS LIMITED,0
16249,INFIBEAM-EQ,INFIBEAM AVENUES LIMITED,0
15036,INFINIUM-SM,INFINIUM PHARMACHEM LTD,0
11027,INFOBEAN-EQ,INFOBEANS TECHNO. LTD.,0
16588,INFOLLION-SM,INFOLLION RESEARCH SER L,0
13694,INFOMEDIA-BE,INFOMEDIA PRESS LIMITED,0
20072,INFRABEES-EQ,NIP IND ETF INFRA BEES,0
10723,INFRAIETF-EQ,ICICIPRAMC - ICICIINFRA,0
1594,INFY-EQ,INFOSYS LIMITED,0
1597,INGERRAND-EQ,INGERSOLL-RAND INDIA LTD,0
22770,INM-SM,INTERIORS & MORE LIMITED,0
21062,INNOVACAP-EQ,INNOVA CAPTAB LIMITED,0
666,INNOVANA-SM,INNOVANA THINKLABS LTD.,0
12188,INOXGREEN-EQ,INOX GREEN ENERGY SER LTD,0
20607,INOXINDIA-EQ,INOX INDIA LIMITED,0
7852,INOXWIND-EQ,INOX WIND LIMITED,0
14657,INSECTICID-EQ,INSECTICIDES (I) LTD,0
19154,INSPIRE-SM,INSPIRE FILMS LIMITED,0
13734,INSPIRISYS-BE,INSPIRISYS SOLUTIONS LTD,0
5926,INTELLECT-EQ,INTELLECT DESIGN ARENA,0
20071,INTENTECH-EQ,INTENSE TECHNOLOGIES LTD,0
5606,INTLCONV-EQ,INTL CONVEYORS LIMITED,0
24870,INVENTURE-EQ,INVENTURE GRO & SEC LTD,0
9348,IOB-EQ,INDIAN OVERSEAS BANK,0
1624,IOC-EQ,INDIAN OIL CORP LTD,0
20413,IOLCP-EQ,IOL CHEM AND PHARMA LTD,0
1630,IONEXCHANG-EQ,ION EXCHANGE (INDIA) LTD,0
1633,IPCALAB-EQ,IPCA LABORATORIES LTD,0
4934,IPL-EQ,INDIA PESTICIDES LIMITED,0
11903,IPSL-SM,INTEGRATED PERSO SER LTD,0
15313,IRB-EQ,IRB INFRA DEV LTD.,0
20817,IRBINVIT-IV,IRB INVIT FUND,0
14806,IRBIT-IV,IRB INFRASTRUCTURE TRUST,0
4986,IRCON-EQ,IRCON INTERNATIONAL LTD,0
13611,IRCTC-EQ,INDIAN RAIL TOUR CORP LTD,0
20261,IREDA-EQ,INDIAN RENEWABLE ENERGY,0
2029,IRFC-EQ,INDIAN RAILWAY FIN CORP L,0
6501,IRIS-BE,IRIS BUSINESS SERV LTD,0
2275,IRISDOREME-EQ,IRIS CLOTHINGS LIMITED,0
19597,IRMENERGY-EQ,IRM ENERGY LIMITED,0
2489,ISEC-EQ,ICICI SECURITIES LIMITED,0
18479,ISFT-EQ,INTRASOFT TECH. LTD,0
3329,ISGEC-EQ,ISGEC HEAVY ENG LTD,0
10995,ISHAN-SM,ISHAN INTERNATIONAL LTD,0
14932,ISMTLTD-EQ,ISMT LIMITED,0
2627,IT-EQ,KOTAKMAMC - KOTAKIT,0
22645,ITALIANE-SM,ITALIAN EDIBLES LIMITED,0
19084,ITBEES-EQ,NIP IND ETF IT,0
1660,ITC-EQ,ITC LTD,0
19299,ITDC-EQ,INDIA TOUR. DEV. CO. LTD.,0
5622,ITDCEM-EQ,ITD CEMENTATION INDIA LTD,0
19633,ITETF-EQ,MIRAEAMC - ITETF,0
17207,ITETFADD-EQ,DSPAMC - DSPITETF,0
1675,ITI-EQ,ITI LTD,0
22365,ITIETF-EQ,ICICIPRAMC - ICICITECH,0
6711,IVC-EQ,IL&FS INVESTMENT MANAGERS,0
1681,IVP-EQ,IVP LTD,0
18292,IVZINGOLD-EQ,INVESCO INDIA GOLD ETF,0
24217,IVZINNIFTY-EQ,INVESCO INDIA NIFTY ETF,0
3776,IWEL-EQ,INOX WIND ENERGY LIMITED,0
24067,IXIGO-EQ,LE TRAVENUES TECHNOLOGY L,0
14174,IZMO-EQ,IZMO LIMITED,0
5633,J&KBANK-EQ,J & K BANK LTD.,0
13211,JAGRAN-EQ,JAGRAN PRAKASHAN LIMITED,0
4410,JAGSNPHARM-EQ,JAGSONPAL PHARMACEUTICALS,0
14076,JAIBALAJI-BE,JAI BALAJI INDUSTRIES LTD,0
5143,JAICORPLTD-EQ,JAI CORP LIMITED,0
6012,JAINAM-SM,JAINAM FER ALLOYS (I) LTD,0
5519,JAIPURKURT-BE,NANDANI CREATION LIMITED,0
3950,JAKHARIA-ST,JAKHARIA FABRIC LIMITED,0
20929,JALAN-SM,JALAN TRANSOLU. INDIA LTD,0
20778,JAMNAAUTO-EQ,JAMNA AUTO IND LTD,0
13982,JASH-EQ,JASH ENGINEERING LIMITED,0
4041,JAYAGROGN-EQ,JAYANT AGRO ORGANICS LTD,0
1708,JAYBARMARU-EQ,JAY BHARAT MARUTI LTD,0
2331,JAYNECOIND-EQ,JAYASWAL NECO INDUSTR LTD,0
1720,JAYSREETEA-EQ,JAYSHREE TEA & INDUSTRIES,0
1726,JBCHEPHARM-EQ,J B CHEMICALS AND PHARMA,0
11655,JBMA-EQ,JBM AUTO LIMITED,0
4491,JCHAC-EQ,JOHNSON CONTROLS HITACHI,0
13420,JETAIRWAYS-BZ,JET AIRWAYS (INDIA) LTD.,0
7211,JETFREIGHT-EQ,JET FREIGHT LOGISTICS LTD,0
18699,JETKNIT-SM,JET KNITWEARS LTD.,0
10885,JFLLIFE-SM,JFL LIFE SCIENCES LIMITED,0
23056,JGCHEM-EQ,J.G.CHEMICALS LIMITED,0
13723,JHS-BE,JHS SVEND. LAB. LTD,0
11743,JINDALPHOT-EQ,JINDAL PHOTO LIMITED,0
1756,JINDALPOLY-EQ,JINDAL POLY FILMS LIMITED,0
3024,JINDALSAW-EQ,JINDAL SAW LIMITED,0
6733,JINDALSTEL-EQ,JINDAL STEEL & POWER LTD,0
13875,JINDRILL-EQ,JINDAL DRILLING IND. LTD,0
20642,JINDWORLD-EQ,JINDAL WORLDWIDE LTD,0
18143,JIOFIN-EQ,JIO FIN SERVICES LTD,0
25684,JISLDVREQS-EQ,JAIN DVR EQUITY SHARES,0
10397,JISLJALEQS-EQ,JAIN IRRIGATION SYSTEMS,0
19691,JITFINFRA-EQ,JITF INFRALOGISTICS LTD,0
18558,JIWANRAM-SM,JIWANRAM SHEODUTTRA IND L,0
13270,JKCEMENT-EQ,JK CEMENT LIMITED,0
15266,JKIL-EQ,JKUMAR INFR.LTD.,0
13491,JKLAKSHMI-EQ,JK LAKSHMI CEMENT LTD,0
11860,JKPAPER-EQ,JK PAPER LIMITED,0
14435,JKTYRE-EQ,JK TYRE & INDUSTRIES LTD,0
18553,JLHL-EQ,JUPITER LIFE LINE HOSP L,0
7109,JMA-EQ,JULLUNDUR MOT AGENCY LTD,0
13637,JMFINANCIL-EQ,JM FINANCIAL LIMITED,0
23621,JNKINDIA-EQ,JNK INDIA LIMITED,0
16927,JOCIL-EQ,JOCIL LIMITED,0
11461,JPASSOCIAT-BE,JAIPRAKASH ASSOCIATES LTD,0
31507,JPOLYINVST-EQ,JIND POL INV & FIN CO LTD,0
11763,JPPOWER-EQ,JAIPRAKASH POWER VEN. LTD,0
22663,JSFB-EQ,JANA SMALL FIN BANK LTD,0
11236,JSL-EQ,JINDAL STAINLESS LIMITED,0
9044,JSLL-ST,JEENA SIKHO LIFECARE LTD,0
17869,JSWENERGY-EQ,JSW ENERGY LIMITED,0
11880,JSWHL-EQ,JSW HOLDINGS LIMITED,0
19020,JSWINFRA-EQ,JSW INFRASTRUCTURE LTD,0
11723,JSWSTEEL-EQ,JSW STEEL LIMITED,0
3237,JTEKTINDIA-EQ,JTEKT INDIA LIMITED,0
7287,JTLIND-EQ,JTL INDUSTRIES LIMITED,0
18096,JUBLFOOD-EQ,JUBILANT FOODWORKS LTD,0
21541,JUBLINDS-EQ,JUBILANT INDUSTRIES LTD,0
2783,JUBLINGREA-EQ,JUBILANT INGREVIA LIMITED,0
3637,JUBLPHARMA-EQ,JUBILANT PHARMOVA LTD,0
10939,JUNIORBEES-EQ,NIP IND ETF JUNIOR BEES,0
22824,JUNIPER-EQ,JUNIPER HOTELS LIMITED,0
29962,JUSTDIAL-EQ,JUSTDIAL LTD.,0
20224,JWL-EQ,JUPITER WAGONS LIMITED,0
15146,JYOTHYLAB-EQ,JYOTHY LABS LIMITED,0
21334,JYOTICNC-EQ,JYOTI CNC AUTOMATION LTD,0
5481,JYOTISTRUC-BE,JYOTI STRUCTURES,0
23459,K2INFRA-SM,K2 INFRAGEN LIMITED,0
1805,KABRAEXTRU-EQ,KABRA EXTRUSION TECHNIK L,0
1808,KAJARIACER-EQ,KAJARIA CERAMICS LTD,0
1811,KAKATCEM-EQ,KAKATIYA CEM SUGAR &IND L,0
18755,KALAMANDIR-EQ,SAI SILKS (KALAMANDIR) L,0
19653,KALYANI-BE,KALYANI COMMERCIALS LTD,0
15160,KALYANIFRG-BE,KALYANI FORGE LIMITED,0
2955,KALYANKJIL-EQ,KALYAN JEWELLERS IND LTD,0
1826,KAMATHOTEL-EQ,KAMAT HOTELS (I) LTD,0
13457,KAMDHENU-EQ,KAMDHENU LIMITED,0
13814,KAMOPAINTS-EQ,KAMDHENU VENTURES LIMITED,0
25786,KANANIIND-EQ,KANANI INDUSTRIES LTD,0
11208,KANDARP-SM,KANDARP DG SMART BPO LTD,0
1835,KANORICHEM-EQ,KANORIA CHEMICALS & INDUS,0
1782,KANPRPLA-EQ,KANPUR PLASTIPACK LIMITED,0
1196,KANSAINER-EQ,KANSAI NEROLAC PAINTS LTD,0
18969,KAPSTON-BE,KAPSTON SERVICES LIMITED,0
24385,KARMAENG-EQ,KARMA ENERGY LIMITED,0
19465,KARNIKA-SM,KARNIKA INDUSTRIES LTD,0
1838,KARURVYSYA-EQ,KARUR VYSYA BANK LTD,0
15136,KAUSHALYA-EQ,KAUSHALYA INFRA DEV LTD.,0
15248,KAVVERITEL-BE,KAVVERI TEL. LTD.,0
10276,KAYA-EQ,KAYA LIMITED,0
12092,KAYNES-EQ,KAYNES TECHNOLOGY IND LTD,0
2354,KBCGLOBAL-EQ,KBC GLOBAL LIMITED,0
21173,KCEIL-SM,KAY CEE ENERGY & INFRA L,0
10296,KCK-ST,KCK INDUSTRIES LTD,0
1841,KCP-EQ,KCP LTD,0
4809,KCPSUGIND-EQ,KCP SUGAR IND CORP LTD.,0
14908,KDDL-EQ,KDDL LIMITED,0
16758,KDL-SM,KORE DIGITAL LIMITED,0
13260,KEC-EQ,KEC INTL. LIMITED,0
18220,KECL-EQ,KIRLOSKAR ELECTRIC CO LTD,0
8880,KEEPLEARN-BE,DSJ KEEP LEARNING LTD,0
13310,KEI-EQ,KEI INDUSTRIES LTD.,0
18708,KEL-SM,KUNDAN EDIFICE LIMITED,0
13430,KELLTONTEC-EQ,KELLTON TECH SOL LTD,0
13121,KERNEX-EQ,KERNEX MICROSYS(I) LTD,0
1859,KESORAMIND-EQ,KESORAM INDUSTRIES LTD,0
9505,KEYFINSERV-BE,KEYNOTE FIN SERV LTD.,0
13359,KFINTECH-EQ,KFIN TECHNOLOGIES LIMITED,0
425,KHADIM-EQ,KHADIM INDIA LIMITED,0
896,KHAICHEM-EQ,KHAITAN CHEM & FERT LTD,0
3912,KHAITANLTD-EQ,KHAITAN (INDIA)LTD.,0
9641,KHANDSE-EQ,KHANDWALA SECURITIES LTD,0
9570,KHFM-SM,KHFM HOS FAC MANA SER LTD,0
21119,KICL-EQ,KALYANI INVEST CO LTD,0
19937,KILITCH-EQ,KILITCH DRUGS INDIA LTD,0
4847,KIMS-EQ,KRISHNA INST OF MED SCI L,0
18944,KINGFA-EQ,KINGFA SCI & TEC IND LTD.,0
19126,KIOCL-EQ,KIOCL LIMITED,0
16639,KIRIINDUS-EQ,KIRI INDUSTRIES LIMITED,0
18581,KIRLOSBROS-EQ,KIRLOSKAR BROTHERS LTD,0
20936,KIRLOSENG-EQ,KIRLOSKAR OIL ENG LTD,0
19025,KIRLOSIND-EQ,KIRLOSKAR INDUSTRIES LTD,0
15180,KIRLPNU-EQ,KIRLOSKAR PNEUMATIC COM L,0
